model_key,model_name,seed,params,epoch,train_loss,val_overall_mae,val_mae__sterimol_B5
painn-ds,PaiNN+DeepSets,0,802817,7,0.3563452335846358,0.39844876527786255,0.39844876527786255
painn-ds,PaiNN+DeepSets,0,802817,8,0.34507330910441625,0.40768295526504517,0.40768295526504517
painn-ds,PaiNN+DeepSets,0,802817,9,0.3168773235921263,0.4436396360397339,0.4436396360397339
painn-ds,PaiNN+DeepSets,0,802817,10,0.3037946149569629,0.3753557801246643,0.3753557801246643
painn-st,PaiNN+SetTransformer,0,935681,1,0.6247616033198425,0.7571954727172852,0.7571954727172852
painn-st,PaiNN+SetTransformer,0,935681,2,0.5199081160361376,0.5856799483299255,0.5856799483299255
painn-st,PaiNN+SetTransformer,0,935681,3,0.44322926977831134,0.5870956182479858,0.5870956182479858
painn-st,PaiNN+SetTransformer,0,935681,4,0.41741148323424393,0.508978009223938,0.508978009223938
painn-st,PaiNN+SetTransformer,0,935681,5,0.3840506040588927,0.48856407403945923,0.48856407403945923
painn-st,PaiNN+SetTransformer,0,935681,6,0.3589461764687772,0.5077458620071411,0.5077458620071411
painn-st,PaiNN+SetTransformer,0,935681,7,0.3401859699307665,0.3887280225753784,0.3887280225753784
painn-st,PaiNN+SetTransformer,0,935681,8,0.3246126667241365,0.4977732002735138,0.4977732002735138
painn-st,PaiNN+SetTransformer,0,935681,9,0.31810935728018674,0.39087653160095215,0.39087653160095215
painn-st,PaiNN+SetTransformer,0,935681,10,0.2956269610789819,0.37647971510887146,0.37647971510887146
painn-bp,PaiNN+BoltzmannPool,0,769793,1,0.6612872681125971,0.9140291213989258,0.9140291213989258
painn-bp,PaiNN+BoltzmannPool,0,769793,2,0.5157859229909781,0.5436152815818787,0.5436152815818787
painn-bp,PaiNN+BoltzmannPool,0,769793,3,0.45435045182046313,0.5373488068580627,0.5373488068580627
painn-bp,PaiNN+BoltzmannPool,0,769793,4,0.4260461769490391,0.4830828309059143,0.4830828309059143
painn-bp,PaiNN+BoltzmannPool,0,769793,5,0.37821350141015064,0.48307400941848755,0.48307400941848755
painn-bp,PaiNN+BoltzmannPool,0,769793,6,0.363142851609771,0.5252568125724792,0.5252568125724792
painn-bp,PaiNN+BoltzmannPool,0,769793,7,0.34767934332840134,0.48678824305534363,0.48678824305534363
painn-bp,PaiNN+BoltzmannPool,0,769793,8,0.3271435859508497,0.4555090069770813,0.4555090069770813
painn-bp,PaiNN+BoltzmannPool,0,769793,9,0.2972281590158988,0.36992761492729187,0.36992761492729187
painn-bp,PaiNN+BoltzmannPool,0,769793,10,0.3045756330586709,0.38062164187431335,0.38062164187431335
